,positive_value,index,k
644,54.56,6.0,9.0
645,52.9,7.0,9.0
646,53.04,8.0,9.0
647,49.75,9.0,9.0
648,48.21,10.0,9.0
649,50.68,11.0,9.0
650,54.36,12.0,9.0
651,55.26,13.0,9.0
652,54.06,14.0,9.0
653,52.82,15.0,9.0
654,47.49,16.0,9.0
655,47.99,17.0,9.0
656,48.55,18.0,9.0
657,44.77,19.0,9.0
658,50.11,20.0,9.0
659,47.25,21.0,9.0
660,55.91,0.0,10.0
661,55.26,1.0,10.0
662,53.14,2.0,10.0
663,52.18,3.0,10.0
664,48.93,4.0,10.0
665,54.53,5.0,10.0
666,52.12,6.0,10.0
667,53.68,7.0,10.0
668,49.86,8.0,10.0
669,48.41,9.0,10.0
670,50.35,10.0,10.0
671,54.39,11.0,10.0
672,54.74,12.0,10.0
673,52.88,13.0,10.0
674,47.5,14.0,10.0
675,48.21,15.0,10.0
676,48.59,16.0,10.0
677,46.31,17.0,10.0
678,48.01,18.0,10.0
679,56.41,0.0,11.0
680,53.88,1.0,11.0
681,52.78,2.0,11.0
682,51.34,3.0,11.0
683,48.83,4.0,11.0
684,55.7,5.0,11.0
685,52.61,6.0,11.0
686,49.49,7.0,11.0
687,48.43,8.0,11.0
688,50.46,9.0,11.0
689,54.61,10.0,11.0
690,54.41,11.0,11.0
691,52.84,12.0,11.0
692,47.59,13.0,11.0
693,46.48,14.0,11.0
694,46.76,15.0,11.0
695,48.73,16.0,11.0
696,56.8,0.0,12.0
697,52.77,1.0,12.0
698,52.46,2.0,12.0
699,50.1,3.0,12.0
700,54.43,4.0,12.0
701,52.35,5.0,12.0
702,51.91,6.0,12.0
703,48.01,7.0,12.0
704,50.64,8.0,12.0
705,54.6,9.0,12.0
706,54.47,10.0,12.0
707,52.54,11.0,12.0
708,47.91,12.0,12.0
709,48.14,13.0,12.0
710,48.98,14.0,12.0
711,46.42,15.0,12.0
712,56.45,0.0,13.0
713,52.98,1.0,13.0
714,52.49,2.0,13.0
715,48.59,3.0,13.0
716,54.6,4.0,13.0
717,52.16,5.0,13.0
718,50.18,6.0,13.0
719,48.97,7.0,13.0
720,54.58,8.0,13.0
721,54.72,9.0,13.0
722,52.62,10.0,13.0
723,47.78,11.0,13.0
724,48.44,12.0,13.0
725,48.25,13.0,13.0
726,56.21,0.0,14.0
727,51.97,1.0,14.0
728,51.64,2.0,14.0
729,52.36,3.0,14.0
730,53.4,4.0,14.0
731,51.12,5.0,14.0
732,49.35,6.0,14.0
733,55.66,7.0,14.0
734,54.69,8.0,14.0
735,52.94,9.0,14.0
736,47.31,10.0,14.0
737,48.06,11.0,14.0
738,47.31,12.0,14.0
739,56.19,0.0,15.0
740,52.62,1.0,15.0
741,51.39,2.0,15.0
742,53.38,3.0,15.0
743,53.24,4.0,15.0
744,50.01,5.0,15.0
745,49.07,6.0,15.0
746,54.64,7.0,15.0
747,52.92,8.0,15.0
748,48.04,9.0,15.0
749,47.3,10.0,15.0
750,48.02,11.0,15.0
751,55.94,0.0,16.0
752,52.89,1.0,16.0
753,50.59,2.0,16.0
754,54.29,3.0,16.0
755,52.62,4.0,16.0
756,47.84,5.0,16.0
757,55.79,6.0,16.0
758,54.58,7.0,16.0
759,52.3,8.0,16.0
760,47.78,9.0,16.0
761,49.53,10.0,16.0
762,55.88,0.0,17.0
763,52.48,1.0,17.0
764,50.32,2.0,17.0
765,53.63,3.0,17.0
766,51.45,4.0,17.0
767,49.34,5.0,17.0
768,54.67,6.0,17.0
769,53.02,7.0,17.0
770,47.65,8.0,17.0
771,47.07,9.0,17.0
772,48.78,10.0,17.0
773,56.0,0.0,18.0
774,52.17,1.0,18.0
775,51.69,2.0,18.0
776,53.34,3.0,18.0
777,50.57,4.0,18.0
778,53.87,5.0,18.0
779,54.56,6.0,18.0
780,52.3,7.0,18.0
781,48.02,8.0,18.0
782,47.13,9.0,18.0
783,56.06,0.0,19.0
784,52.23,1.0,19.0
785,52.33,2.0,19.0
786,52.78,3.0,19.0
787,48.75,4.0,19.0
788,56.1,5.0,19.0
789,53.13,6.0,19.0
790,47.78,7.0,19.0
791,47.4,8.0,19.0
792,55.98,0.0,20.0
793,51.57,1.0,20.0
794,53.17,2.0,20.0
795,52.64,3.0,20.0
796,48.98,4.0,20.0
797,54.67,5.0,20.0
798,52.89,6.0,20.0
799,47.94,7.0,20.0
800,46.96,8.0,20.0
801,55.9,0.0,21.0
802,51.97,1.0,21.0
803,53.33,2.0,21.0
804,50.84,3.0,21.0
805,49.5,4.0,21.0
806,54.48,5.0,21.0
807,52.02,6.0,21.0
808,46.48,7.0,21.0
809,55.92,0.0,22.0
810,51.82,1.0,22.0
811,52.44,2.0,22.0
812,51.78,3.0,22.0
813,54.24,4.0,22.0
814,53.2,5.0,22.0
815,47.76,6.0,22.0
816,48.04,7.0,22.0
817,55.92,0.0,23.0
818,51.36,1.0,23.0
819,52.93,2.0,23.0
820,49.81,3.0,23.0
821,55.64,4.0,23.0
822,53.02,5.0,23.0
823,47.75,6.0,23.0
824,47.71,7.0,23.0
825,55.97,0.0,24.0
826,51.05,1.0,24.0
827,53.31,2.0,24.0
828,50.1,3.0,24.0
829,55.2,4.0,24.0
830,52.54,5.0,24.0
831,47.81,6.0,24.0
832,55.71,0.0,25.0
833,51.18,1.0,25.0
834,53.26,2.0,25.0
835,49.35,3.0,25.0
836,54.6,4.0,25.0
837,51.8,5.0,25.0
838,47.98,6.0,25.0
839,55.59,0.0,26.0
840,50.98,1.0,26.0
841,53.92,2.0,26.0
842,48.94,3.0,26.0
843,53.25,4.0,26.0
844,48.02,5.0,26.0
845,48.3,6.0,26.0
846,55.58,0.0,27.0
847,51.94,1.0,27.0
848,52.17,2.0,27.0
849,53.58,3.0,27.0
850,53.27,4.0,27.0
851,47.31,5.0,27.0
852,55.73,0.0,28.0
853,52.24,1.0,28.0
854,51.63,2.0,28.0
855,54.61,3.0,28.0
856,52.87,4.0,28.0
857,47.69,5.0,28.0
858,55.56,0.0,29.0
859,52.35,1.0,29.0
860,51.47,2.0,29.0
861,54.86,3.0,29.0
862,52.57,4.0,29.0
863,47.45,5.0,29.0
